epoch,accuracy,loss,val_accuracy,val_loss
0,0.35427752,1.793494373298883,0.3542041480541229,1.789320250937926
1,0.35466614,1.7880707121267525,0.3542041480541229,1.790865441232871
2,0.35466614,1.7861049808618834,0.3542041480541229,1.7913429559156677
3,0.35466614,1.7833976233555116,0.3542041480541229,1.7944739808018444
4,0.3546641,1.7802374181773724,0.3541978895664215,1.797648980176678
5,0.35466716,1.7768496093118649,0.3541833162307739,1.8025542509428352
6,0.35465384,1.7734227102846711,0.35367533564567566,1.8086905011425194
7,0.35468358,1.7700802357750174,0.35233044624328613,1.8136396442984943
8,0.3548897,1.7670317722144044,0.35241371393203735,1.819673756192524
9,0.3551522,1.7641529833872704,0.34595367312431335,1.8247262542274219
10,0.35537675,1.761474876423308,0.34849563241004944,1.8272269031660875
11,0.35574076,1.7591116875353698,0.34461086988449097,1.8342903822522458
12,0.35618374,1.7569301287425745,0.33905017375946045,1.8398649667995464
13,0.35677436,1.7549056388809356,0.3389585614204407,1.8433364287377643
14,0.3569692,1.753115592529106,0.33314597606658936,1.8471922998421038
15,0.35741422,1.7513262643808925,0.3346449136734009,1.848543705305226
16,0.35785207,1.7497330388046228,0.33116817474365234,1.8569639972293366
17,0.35847142,1.7483302821484756,0.33596691489219666,1.8574587235082725
18,0.35857087,1.7469166290190572,0.3272334337234497,1.8622401065176148
19,0.359222,1.7457170697390523,0.32428550720214844,1.8664427380197939
20,0.35936454,1.7444093826826845,0.32099196314811707,1.8728291412518194
21,0.35982496,1.743367280800265,0.32140418887138367,1.8726744656956555
22,0.3600936,1.7422178282331262,0.3104202151298523,1.8779193347841199
23,0.36044532,1.741210919977013,0.31796908378601074,1.881197113008551
24,0.36093444,1.740227741493276,0.31254372000694275,1.885630873243828
25,0.36127487,1.739270031042011,0.31640350818634033,1.8889912174836112
26,0.36161324,1.738289717495023,0.31816479563713074,1.8885820519141507
27,0.36180705,1.7374818133942762,0.3179149627685547,1.893706456685955
28,0.36216184,1.7365708583978092,0.3160933256149292,1.900172399309497
29,0.3625884,1.735686839820205,0.31514397263526917,1.8979775779534218
30,0.36279452,1.7349091195503952,0.31106558442115784,1.9033171275896084
31,0.3631247,1.7341493266213748,0.31423628330230713,1.9051520098240877
32,0.36330003,1.7334298045287333,0.3067873418331146,1.907494171177744
33,0.3637512,1.7326898556094985,0.3120419979095459,1.9084259377048127
34,0.3640055,1.732007591076295,0.30668115615844727,1.9138857458081016
35,0.36430493,1.7313018170947247,0.31214606761932373,1.9083177539423206
36,0.3644218,1.7306737919739208,0.3061023950576782,1.9201095808569275
37,0.36488223,1.7300985897152732,0.3097914755344391,1.9188492589031672
38,0.36517343,1.7293981963167837,0.30510517954826355,1.9205836168370636
39,0.36537442,1.728884053731557,0.3084840476512909,1.9246723201113576
40,0.36548415,1.7282958175806349,0.3008914589881897,1.925794600296821
41,0.36565334,1.7278023627216421,0.3090357482433319,1.9241647719423616
42,0.36609527,1.7272292771642122,0.3081280589103699,1.9310471074760074
43,0.36631984,1.726662158657048,0.30659788846969604,1.9324539827953422
44,0.36619782,1.7262191831617766,0.307376503944397,1.929705645122295
45,0.3665803,1.7256831426924326,0.2990385890007019,1.934043402369393
46,0.36688995,1.7251372776215417,0.30321481823921204,1.9385698375765121
47,0.36692995,1.7246648980648336,0.3006041646003723,1.9416420091251192
48,0.36721092,1.7241372755446067,0.30035850405693054,1.9475170419224177
49,0.3674355,1.7237874243244755,0.30320027470588684,1.9413845673069947
